Collections_SortBeforeBinarySearch @ ParameterSpace.java:52: 3 Unique Traces, 70 Redundant Traces, 1 Preserved, 11 Remained 
Collections_SortBeforeBinarySearch @ Parser.java:101: 13 Unique Traces, 124 Redundant Traces, 3 Preserved, 16 Remained 
Collections_SortBeforeBinarySearch @ Parser.java:111: 9 Unique Traces, 225 Redundant Traces, 3 Preserved, 23 Remained 
Collections_SortBeforeBinarySearch @ Parser.java:207: 8 Unique Traces, 222 Redundant Traces, 2 Preserved, 11 Remained 
Collections_SortBeforeBinarySearch @ Parser.java:320: 2 Unique Traces, 58 Redundant Traces, 1 Preserved, 13 Remained 
Collections_SortBeforeBinarySearch @ Parser.java:336: 3 Unique Traces, 187 Redundant Traces, 2 Preserved, 11 Remained 
Collections_SortBeforeBinarySearch @ Partitioner.java:38: 1 Unique Traces, 67 Redundant Traces, 1 Preserved, 44 Remained 
Collections_SortBeforeBinarySearch @ Partitioner.java:53: 1 Unique Traces, 67 Redundant Traces, 1 Preserved, 42 Remained 
Collections_SortBeforeBinarySearch @ Partitioner.java:57: 1 Unique Traces, 67 Redundant Traces, 1 Preserved, 67 Remained 
Collections_SortBeforeBinarySearch @ Partitioner.java:60: 1 Unique Traces, 25 Redundant Traces, 1 Preserved, 5 Remained 
Collections_SortBeforeBinarySearch @ Partitioner.java:78: 1 Unique Traces, 67 Redundant Traces, 1 Preserved, 30 Remained 
Collections_SortBeforeBinarySearch @ Partitioner.java:92: 1 Unique Traces, 66 Redundant Traces, 1 Preserved, 8 Remained 
Collections_SortBeforeBinarySearch @ Partitioner.java:99: 1 Unique Traces, 66 Redundant Traces, 1 Preserved, 8 Remained 
Collections_SortBeforeBinarySearch @ Partitioner.java:103: 1 Unique Traces, 66 Redundant Traces, 1 Preserved, 13 Remained 
Collections_SortBeforeBinarySearch @ Partitioner.java:122: 4 Unique Traces, 57 Redundant Traces, 4 Preserved, 42 Remained 
Collections_SortBeforeBinarySearch @ Pipeline.java:62: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ Pipeline.java:71: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ RegexComposer.java:35: 4 Unique Traces, 121 Redundant Traces, 2 Preserved, 8 Remained 
Collections_SortBeforeBinarySearch @ RegexComposer.java:37: 4 Unique Traces, 282 Redundant Traces, 4 Preserved, 43 Remained 
Collections_SortBeforeBinarySearch @ RegexComposer.java:99: 3 Unique Traces, 45 Redundant Traces, 3 Preserved, 19 Remained 
Collections_SortBeforeBinarySearch @ RegexComposer.java:113: 9 Unique Traces, 354 Redundant Traces, 7 Preserved, 73 Remained 
Collections_SortBeforeBinarySearch @ RegexDecomposer.java:39: 4 Unique Traces, 138 Redundant Traces, 2 Preserved, 16 Remained 
Collections_SortBeforeBinarySearch @ RegexDecomposer.java:44: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ RegexDecomposer.java:49: 3 Unique Traces, 91 Redundant Traces, 3 Preserved, 57 Remained 
Collections_SortBeforeBinarySearch @ RegexDecomposer.java:51: 1 Unique Traces, 50 Redundant Traces, 1 Preserved, 19 Remained 
Collections_SortBeforeBinarySearch @ RegexDecomposer.java:54: 9 Unique Traces, 32 Redundant Traces, 7 Preserved, 16 Remained 
Collections_SortBeforeBinarySearch @ RegexDecomposer.java:70: 8 Unique Traces, 26 Redundant Traces, 7 Preserved, 24 Remained 
Collections_SortBeforeBinarySearch @ RegexDecomposer.java:123: 3 Unique Traces, 139 Redundant Traces, 1 Preserved, 8 Remained 
Collections_SortBeforeBinarySearch @ RegexTranslator.java:111: 2 Unique Traces, 61 Redundant Traces, 2 Preserved, 30 Remained 
Collections_SortBeforeBinarySearch @ RegexTranslator.java:119: 2 Unique Traces, 95 Redundant Traces, 1 Preserved, 7 Remained 
Collections_SortBeforeBinarySearch @ RegexTranslator.java:168: 4 Unique Traces, 249 Redundant Traces, 3 Preserved, 32 Remained 
Collections_SortBeforeBinarySearch @ Requirement.java:34: 2 Unique Traces, 8 Redundant Traces, 2 Preserved, 8 Remained 
Collections_SortBeforeBinarySearch @ SchemafulTupleSet.java:55: 18 Unique Traces, 203 Redundant Traces, 3 Preserved, 26 Remained 
Collections_SortBeforeBinarySearch @ SeedTest.java:124: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ Utils.java:37: 1 Unique Traces, 450727 Redundant Traces, 1 Preserved, 10000 Remained 
Collections_SynchronizedCollection @ InternalUtils.java:127: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ AllOf.java:26: 8 Unique Traces, 64 Redundant Traces, 3 Preserved, 9 Remained 
Iterator_HasNext @ BankAccountExample.java:101: 5 Unique Traces, 58971 Redundant Traces, 1 Preserved, 2888 Remained 
