Collection_UnsynchronizedAddAll @ CompoundList.java:82: 1 Unique Traces, 46 Redundant Traces, 1 Preserved, 43 Remained 
Collection_UnsynchronizedAddAll @ CompoundList.java:83: 1 Unique Traces, 46 Redundant Traces, 1 Preserved, 46 Remained 
Collection_UnsynchronizedAddAll @ FieldRegistry.java:122: 1 Unique Traces, 16 Redundant Traces, 1 Preserved, 14 Remained 
Collection_UnsynchronizedAddAll @ MethodGraph.java:937: 1 Unique Traces, 75 Redundant Traces, 1 Preserved, 44 Remained 
Collection_UnsynchronizedAddAll @ MultipleParentClassLoader.java:359: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collection_UnsynchronizedAddAll @ StackManipulation.java:200: 1 Unique Traces, 99 Redundant Traces, 1 Preserved, 10 Remained 
Collections_SortBeforeBinarySearch @ AllArguments.java:168: 2 Unique Traces, 10 Redundant Traces, 2 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ Analyzer.java:130: 11 Unique Traces, 1797101 Redundant Traces, 1 Preserved, 59999 Remained 
Collections_SortBeforeBinarySearch @ Analyzer.java:317: 40223 Unique Traces, 449748 Redundant Traces, 3652 Preserved, 32498 Remained 
Collections_SortBeforeBinarySearch @ Analyzer.java:334: 5 Unique Traces, 172 Redundant Traces, 5 Preserved, 172 Remained 
Collections_SortBeforeBinarySearch @ AnnotationNode.java:101: 2 Unique Traces, 163 Redundant Traces, 2 Preserved, 12 Remained 
Collections_SortBeforeBinarySearch @ AnnotationNode.java:120: 8 Unique Traces, 712 Redundant Traces, 6 Preserved, 73 Remained 
Collections_SortBeforeBinarySearch @ AnnotationNode.java:132: 1 Unique Traces, 53 Redundant Traces, 1 Preserved, 14 Remained 
Collections_SortBeforeBinarySearch @ AnnotationNode.java:154: 1 Unique Traces, 275 Redundant Traces, 1 Preserved, 38 Remained 
Collections_SortBeforeBinarySearch @ AnnotationNode.java:157: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 7 Remained 
Collections_SortBeforeBinarySearch @ ByteCodeAppender.java:136: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 6 Remained 
Collections_SortBeforeBinarySearch @ ByteCodeAppender.java:138: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ ByteCodeElement.java:160: 3 Unique Traces, 5 Redundant Traces, 3 Preserved, 5 Remained 
Collections_SortBeforeBinarySearch @ ClassPathFactory.java:48: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ CollectionErasureMatcher.java:53: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
