Collection_UnsafeIterator @ ODocument.java:2001: 2 Unique Traces, 5351 Redundant Traces, 2 Preserved, 305 Remained 
Collection_UnsafeIterator @ ODocument.java:2227: 2 Unique Traces, 5188 Redundant Traces, 1 Preserved, 268 Remained 
Collection_UnsafeIterator @ ODocument.java:2246: 3 Unique Traces, 16 Redundant Traces, 2 Preserved, 4 Remained 
Collection_UnsafeIterator @ ODocument.java:2309: 127 Unique Traces, 3750 Redundant Traces, 14 Preserved, 203 Remained 
Collection_UnsafeIterator @ ODocument.java:2345: 5 Unique Traces, 5618 Redundant Traces, 2 Preserved, 309 Remained 
Collection_UnsafeIterator @ ODocument.java:2555: 6 Unique Traces, 493 Redundant Traces, 6 Preserved, 62 Remained 
Collection_UnsafeIterator @ OEngineRemote.java:68: 1 Unique Traces, 13 Redundant Traces, 1 Preserved, 13 Remained 
Collection_UnsafeIterator @ OFetchHelper.java:95: 1 Unique Traces, 10 Redundant Traces, 1 Preserved, 4 Remained 
Collection_UnsafeIterator @ OFetchPlan.java:54: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ OFilterAnalyzer.java:48: 1 Unique Traces, 43 Redundant Traces, 1 Preserved, 29 Remained 
Collection_UnsafeIterator @ OFilterOptimizer.java:84: 1 Unique Traces, 25 Redundant Traces, 1 Preserved, 10 Remained 
Collection_UnsafeIterator @ OFunctionCall.java:55: 1 Unique Traces, 145 Redundant Traces, 1 Preserved, 27 Remained 
Collection_UnsafeIterator @ OFunctionCall.java:69: 1 Unique Traces, 45 Redundant Traces, 1 Preserved, 7 Remained 
Collection_UnsafeIterator @ OImmutableClass.java:76: 3 Unique Traces, 173 Redundant Traces, 2 Preserved, 15 Remained 
Collection_UnsafeIterator @ OImmutableClass.java:85: 11 Unique Traces, 1051 Redundant Traces, 2 Preserved, 64 Remained 
