Iterator_RemoveOnce @ DataBuilderMetadataManager.java:119: 4 Unique Traces, 62 Redundant Traces, 4 Preserved, 27 Remained 
Iterator_RemoveOnce @ DataFlowExecutor.java:137: 2 Unique Traces, 19 Redundant Traces, 1 Preserved, 8 Remained 
Iterator_RemoveOnce @ ExecutionGraph.java:36: 3 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
Iterator_RemoveOnce @ ExecutionGraph.java:38: 2 Unique Traces, 4 Redundant Traces, 2 Preserved, 4 Remained 
Iterator_RemoveOnce @ ExecutionGraphGenerator.java:96: 13 Unique Traces, 88 Redundant Traces, 12 Preserved, 28 Remained 
Iterator_RemoveOnce @ ExecutionGraphGenerator.java:136: 8 Unique Traces, 468 Redundant Traces, 3 Preserved, 41 Remained 
Iterator_RemoveOnce @ ExecutionGraphGenerator.java:165: 8 Unique Traces, 336 Redundant Traces, 4 Preserved, 46 Remained 
Iterator_RemoveOnce @ FlowTest.java:114: 4 Unique Traces, 0 Redundant Traces, 4 Preserved, 0 Remained 
Iterator_RemoveOnce @ LoopTest.java:89: 3 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
Iterator_RemoveOnce @ MapSerializer.java:900: 4 Unique Traces, 2 Redundant Traces, 3 Preserved, 2 Remained 
Iterator_RemoveOnce @ MultiThreadedDataFlowExecutor.java:251: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ POJOPropertiesCollector.java:329: 3 Unique Traces, 16 Redundant Traces, 3 Preserved, 16 Remained 
Iterator_RemoveOnce @ POJOPropertiesCollector.java:343: 3 Unique Traces, 16 Redundant Traces, 3 Preserved, 16 Remained 
Iterator_RemoveOnce @ POJOPropertiesCollector.java:379: 6 Unique Traces, 28 Redundant Traces, 6 Preserved, 28 Remained 
Iterator_RemoveOnce @ POJOPropertiesCollector.java:460: 2 Unique Traces, 17 Redundant Traces, 2 Preserved, 15 Remained 
Iterator_RemoveOnce @ POJOPropertiesCollector.java:468: 2 Unique Traces, 17 Redundant Traces, 2 Preserved, 17 Remained 
Iterator_RemoveOnce @ POJOPropertiesCollector.java:525: 7 Unique Traces, 27 Redundant Traces, 7 Preserved, 27 Remained 
Iterator_RemoveOnce @ POJOPropertiesCollector.java:656: 6 Unique Traces, 28 Redundant Traces, 6 Preserved, 28 Remained 
Iterator_RemoveOnce @ POJOPropertiesCollector.java:660: 7 Unique Traces, 27 Redundant Traces, 6 Preserved, 27 Remained 
Iterator_RemoveOnce @ POJOPropertiesCollector.java:707: 6 Unique Traces, 28 Redundant Traces, 5 Preserved, 28 Remained 
Iterator_RemoveOnce @ POJOPropertiesCollector.java:742: 3 Unique Traces, 16 Redundant Traces, 3 Preserved, 15 Remained 
Iterator_RemoveOnce @ POJOPropertiesCollector.java:778: 3 Unique Traces, 16 Redundant Traces, 3 Preserved, 16 Remained 
Iterator_RemoveOnce @ POJOPropertiesCollector.java:966: 3 Unique Traces, 16 Redundant Traces, 3 Preserved, 15 Remained 
Iterator_RemoveOnce @ SimpleDataFlowExecutor.java:66: 2 Unique Traces, 14 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_RemoveOnce @ SimpleDataFlowExecutor.java:92: 2 Unique Traces, 11 Redundant Traces, 2 Preserved, 11 Remained 
Iterator_RemoveOnce @ SimpleDataFlowExecutor.java:102: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ SimpleDataFlowExecutor.java:115: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_RemoveOnce @ StatusUtil.java:59: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ StatusUtil.java:95: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ StringCollectionSerializer.java:103: 6 Unique Traces, 37 Redundant Traces, 2 Preserved, 6 Remained 
Iterator_RemoveOnce @ TypeNameIdResolver.java:64: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 11 Remained 
ListIterator_RemoveOnce @ DataBuilderMetadataManager.java:102: 5 Unique Traces, 231 Redundant Traces, 3 Preserved, 17 Remained 
ListIterator_RemoveOnce @ DataBuilderMetadataManager.java:110: 4 Unique Traces, 12 Redundant Traces, 4 Preserved, 12 Remained 
ListIterator_RemoveOnce @ DataBuilderMetadataManager.java:119: 3 Unique Traces, 52 Redundant Traces, 3 Preserved, 9 Remained 
ListIterator_RemoveOnce @ ExecutionGraphGenerator.java:165: 5 Unique Traces, 187 Redundant Traces, 3 Preserved, 21 Remained 
ListIterator_RemoveOnce @ StringCollectionSerializer.java:103: 5 Unique Traces, 22 Redundant Traces, 5 Preserved, 22 Remained 
Map_CollectionViewAdd @ AnnotatedFieldCollector.java:46: 1 Unique Traces, 33 Redundant Traces, 1 Preserved, 24 Remained 
Map_CollectionViewAdd @ AnnotatedMethodCollector.java:90: 1 Unique Traces, 33 Redundant Traces, 1 Preserved, 13 Remained 
Map_CollectionViewAdd @ AnnotatedMethodMap.java:57: 1 Unique Traces, 33 Redundant Traces, 1 Preserved, 2 Remained 
Map_CollectionViewAdd @ AnnotationCollector.java:153: 1 Unique Traces, 45 Redundant Traces, 1 Preserved, 45 Remained 
Map_CollectionViewAdd @ ExecutionGraphGenerator.java:96: 1 Unique Traces, 100 Redundant Traces, 1 Preserved, 14 Remained 
Map_CollectionViewAdd @ FlowTest.java:68: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ FlowTest.java:75: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ FlowTest.java:82: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ FlowTest.java:107: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ LoopTest.java:70: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ LoopTest.java:76: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ LoopTest.java:82: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ MapSerializer.java:900: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Map_CollectionViewAdd @ POJOPropertiesCollector.java:705: 3 Unique Traces, 31 Redundant Traces, 3 Preserved, 8 Remained 
Map_CollectionViewAdd @ POJOPropertiesCollector.java:775: 1 Unique Traces, 33 Redundant Traces, 1 Preserved, 14 Remained 
Map_CollectionViewAdd @ ReadOnlyClassToSerializerMap.java:32: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
