StringBuilder_ThreadSafe @ AudioFile.java:95: 1 Unique Traces, 21 Redundant Traces, 1 Preserved, 6 Remained 
StringBuilder_ThreadSafe @ BBCBasicVariableData.java:76: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ BBCBasicVariableData.java:133: 1 Unique Traces, 100 Redundant Traces, 1 Preserved, 5 Remained 
StringBuilder_ThreadSafe @ BBCFileBlock.java:159: 4 Unique Traces, 74 Redundant Traces, 4 Preserved, 74 Remained 
StringBuilder_ThreadSafe @ BBCFileBlock.java:197: 1 Unique Traces, 63 Redundant Traces, 1 Preserved, 4 Remained 
StringBuilder_ThreadSafe @ BBCFileBlock.java:199: 1 Unique Traces, 63 Redundant Traces, 1 Preserved, 39 Remained 
StringBuilder_ThreadSafe @ BBCFileBlock.java:200: 1 Unique Traces, 63 Redundant Traces, 1 Preserved, 7 Remained 
StringBuilder_ThreadSafe @ BBCFileBlock.java:201: 1 Unique Traces, 63 Redundant Traces, 1 Preserved, 39 Remained 
StringBuilder_ThreadSafe @ BBCFileBlock.java:202: 1 Unique Traces, 63 Redundant Traces, 1 Preserved, 11 Remained 
StringBuilder_ThreadSafe @ BBCFileBlock.java:203: 1 Unique Traces, 63 Redundant Traces, 1 Preserved, 31 Remained 
StringBuilder_ThreadSafe @ BBCFileBlock.java:204: 1 Unique Traces, 63 Redundant Traces, 1 Preserved, 5 Remained 
StringBuilder_ThreadSafe @ BBCFileStateMachine.java:78: 1 Unique Traces, 582 Redundant Traces, 1 Preserved, 34 Remained 
StringBuilder_ThreadSafe @ BBCFileStateMachine.java:212: 1 Unique Traces, 31 Redundant Traces, 1 Preserved, 13 Remained 
StringBuilder_ThreadSafe @ BBCFileStateMachine.java:214: 1 Unique Traces, 31 Redundant Traces, 1 Preserved, 31 Remained 
StringBuilder_ThreadSafe @ BBCFileStateMachine.java:230: 1 Unique Traces, 83 Redundant Traces, 1 Preserved, 11 Remained 
StringBuilder_ThreadSafe @ BBCFileStateMachine.java:287: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 6 Remained 
StringBuilder_ThreadSafe @ BBCFileStateMachine.java:290: 1 Unique Traces, 31 Redundant Traces, 1 Preserved, 9 Remained 
StringBuilder_ThreadSafe @ BBCFileTest.java:116: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
StringBuilder_ThreadSafe @ BBCFileTest.java:123: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 6 Remained 
StringBuilder_ThreadSafe @ BBCFileTest.java:124: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 6 Remained 
StringBuilder_ThreadSafe @ BBCFileTest.java:125: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 6 Remained 
StringBuilder_ThreadSafe @ BBCFileTest.java:127: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 5 Remained 
StringBuilder_ThreadSafe @ BBCFileTest.java:134: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ BBCTapeFile.java:86: 2 Unique Traces, 12 Redundant Traces, 2 Preserved, 7 Remained 
StringBuilder_ThreadSafe @ CommodoreBlockRecognisingStateMachine.java:80: 1 Unique Traces, 236 Redundant Traces, 1 Preserved, 15 Remained 
StringBuilder_ThreadSafe @ CommodoreBlockRecognisingStateMachine.java:237: 1 Unique Traces, 17 Redundant Traces, 1 Preserved, 12 Remained 
StringBuilder_ThreadSafe @ CommodoreBlockRecognisingStateMachine.java:372: 1 Unique Traces, 36 Redundant Traces, 1 Preserved, 7 Remained 
StringBuilder_ThreadSafe @ CommodoreByteFrame.java:112: 1 Unique Traces, 6216 Redundant Traces, 1 Preserved, 329 Remained 
