Appendable_ThreadSafe @ Execution.java:255: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ JavaASTBuilder.java:65: 1 Unique Traces, 26 Redundant Traces, 1 Preserved, 10 Remained 
Appendable_ThreadSafe @ JavaASTBuilder.java:151: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 16 Remained 
Appendable_ThreadSafe @ JavaASTBuilder.java:167: 1 Unique Traces, 26 Redundant Traces, 1 Preserved, 26 Remained 
Appendable_ThreadSafe @ JavaASTBuilder.java:197: 1 Unique Traces, 26 Redundant Traces, 1 Preserved, 14 Remained 
Appendable_ThreadSafe @ JavaASTBuilder.java:262: 1 Unique Traces, 209 Redundant Traces, 1 Preserved, 63 Remained 
Appendable_ThreadSafe @ JavaASTBuilder.java:334: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ JavaASTBuilder.java:399: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 11 Remained 
Appendable_ThreadSafe @ JavaASTBuilder.java:451: 1 Unique Traces, 122 Redundant Traces, 1 Preserved, 27 Remained 
Appendable_ThreadSafe @ JavaASTBuilder.java:482: 1 Unique Traces, 80 Redundant Traces, 1 Preserved, 26 Remained 
Appendable_ThreadSafe @ JavaASTBuilder.java:549: 1 Unique Traces, 137 Redundant Traces, 1 Preserved, 28 Remained 
Appendable_ThreadSafe @ JavaASTBuilder.java:559: 1 Unique Traces, 128 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ JavaASTBuilder.java:560: 1 Unique Traces, 128 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ JavaASTBuilder.java:579: 1 Unique Traces, 632 Redundant Traces, 1 Preserved, 33 Remained 
Appendable_ThreadSafe @ JavaASTBuilder.java:614: 1 Unique Traces, 26 Redundant Traces, 1 Preserved, 15 Remained 
Appendable_ThreadSafe @ JavaASTBuilder.java:620: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ JavaASTBuilder.java:726: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ JavaASTBuilder.java:900: 1 Unique Traces, 20 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ JavaASTBuilder.java:960: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ JavaASTBuilder.java:969: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ JavaASTBuilder.java:970: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ JavaASTBuilder.java:999: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ JavaASTBuilder.java:1110: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ JavaASTBuilder.java:1132: 1 Unique Traces, 713 Redundant Traces, 1 Preserved, 50 Remained 
Appendable_ThreadSafe @ JavaASTBuilder.java:1178: 1 Unique Traces, 32 Redundant Traces, 1 Preserved, 17 Remained 
Appendable_ThreadSafe @ JavaASTBuilder.java:1206: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ JavaASTBuilder.java:1212: 1 Unique Traces, 470 Redundant Traces, 1 Preserved, 37 Remained 
Appendable_ThreadSafe @ JavaASTBuilder.java:1245: 1 Unique Traces, 38 Redundant Traces, 1 Preserved, 33 Remained 
Appendable_ThreadSafe @ JavaASTBuilder.java:1256: 1 Unique Traces, 17 Redundant Traces, 1 Preserved, 15 Remained 
Appendable_ThreadSafe @ JavaASTBuilder.java:1269: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 18 Remained 
Appendable_ThreadSafe @ JavaASTBuilder.java:1276: 1 Unique Traces, 107 Redundant Traces, 1 Preserved, 42 Remained 
Appendable_ThreadSafe @ JavaASTBuilder.java:1307: 1 Unique Traces, 89 Redundant Traces, 1 Preserved, 84 Remained 
Appendable_ThreadSafe @ JavaASTBuilder.java:1325: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 16 Remained 
Appendable_ThreadSafe @ JavaASTBuilder.java:1361: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ JavaASTBuilder.java:1368: 1 Unique Traces, 155 Redundant Traces, 1 Preserved, 23 Remained 
Appendable_ThreadSafe @ JavaASTBuilder.java:1384: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ JavaASTBuilder.java:1386: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ JavaASTBuilder.java:1397: 1 Unique Traces, 20 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ JavaCDGBuilder.java:44: 1 Unique Traces, 26 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ JavaCDGBuilder.java:125: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 11 Remained 
Appendable_ThreadSafe @ JavaCDGBuilder.java:154: 1 Unique Traces, 122 Redundant Traces, 1 Preserved, 45 Remained 
Appendable_ThreadSafe @ JavaCDGBuilder.java:175: 1 Unique Traces, 551 Redundant Traces, 1 Preserved, 60 Remained 
Appendable_ThreadSafe @ JavaCDGBuilder.java:195: 1 Unique Traces, 89 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ JavaCDGBuilder.java:243: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ JavaCDGBuilder.java:277: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 11 Remained 
Appendable_ThreadSafe @ JavaCDGBuilder.java:307: 1 Unique Traces, 26 Redundant Traces, 1 Preserved, 10 Remained 
Appendable_ThreadSafe @ JavaCDGBuilder.java:335: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ JavaCDGBuilder.java:350: 1 Unique Traces, 14 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ JavaCDGBuilder.java:558: 1 Unique Traces, 20 Redundant Traces, 1 Preserved, 20 Remained 
Appendable_ThreadSafe @ JavaCDGBuilder.java:613: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ JavaCDGBuilder.java:653: 1 Unique Traces, 1007 Redundant Traces, 1 Preserved, 43 Remained 
Appendable_ThreadSafe @ JavaCDGBuilder.java:654: 1 Unique Traces, 1007 Redundant Traces, 1 Preserved, 76 Remained 
Appendable_ThreadSafe @ JavaCDGBuilder.java:658: 1 Unique Traces, 47 Redundant Traces, 1 Preserved, 23 Remained 
Appendable_ThreadSafe @ JavaCFGBuilder.java:194: 1 Unique Traces, 23 Redundant Traces, 1 Preserved, 23 Remained 
Appendable_ThreadSafe @ JavaCFGBuilder.java:220: 1 Unique Traces, 245 Redundant Traces, 1 Preserved, 48 Remained 
Appendable_ThreadSafe @ JavaCFGBuilder.java:241: 1 Unique Traces, 1103 Redundant Traces, 1 Preserved, 63 Remained 
Appendable_ThreadSafe @ JavaCFGBuilder.java:270: 1 Unique Traces, 179 Redundant Traces, 1 Preserved, 42 Remained 
Appendable_ThreadSafe @ JavaCFGBuilder.java:307: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 11 Remained 
Appendable_ThreadSafe @ JavaCFGBuilder.java:345: 1 Unique Traces, 23 Redundant Traces, 1 Preserved, 23 Remained 
