Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:521: 176 Unique Traces, 8512 Redundant Traces, 7 Preserved, 456 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:525: 5 Unique Traces, 39 Redundant Traces, 3 Preserved, 25 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:529: 17 Unique Traces, 40 Redundant Traces, 17 Preserved, 40 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:533: 3 Unique Traces, 481 Redundant Traces, 3 Preserved, 71 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:537: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:541: 3 Unique Traces, 14 Redundant Traces, 3 Preserved, 7 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:545: 4 Unique Traces, 9 Redundant Traces, 2 Preserved, 8 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:549: 6 Unique Traces, 11 Redundant Traces, 6 Preserved, 11 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:756: 2540 Unique Traces, 18893 Redundant Traces, 2540 Preserved, 18893 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:763: 8 Unique Traces, 2491 Redundant Traces, 4 Preserved, 134 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:765: 8 Unique Traces, 2491 Redundant Traces, 6 Preserved, 133 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:965: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:1045: 1 Unique Traces, 14 Redundant Traces, 1 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ FsmParse.java:47: 1 Unique Traces, 14 Redundant Traces, 1 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ FsmParse.java:49: 1 Unique Traces, 14 Redundant Traces, 1 Preserved, 13 Remained 
Collections_SortBeforeBinarySearch @ FsmParse.java:95: 1 Unique Traces, 21 Redundant Traces, 1 Preserved, 21 Remained 
Collections_SortBeforeBinarySearch @ FsmParse.java:97: 1 Unique Traces, 21 Redundant Traces, 1 Preserved, 21 Remained 
Collections_SortBeforeBinarySearch @ FsmParse.java:117: 1 Unique Traces, 61959 Redundant Traces, 1 Preserved, 3065 Remained 
Collections_SortBeforeBinarySearch @ FsmParse.java:119: 1 Unique Traces, 61959 Redundant Traces, 1 Preserved, 3126 Remained 
Collections_SortBeforeBinarySearch @ FsmParse.java:137: 4 Unique Traces, 1974 Redundant Traces, 1 Preserved, 103 Remained 
Collections_SortBeforeBinarySearch @ FsmParse.java:140: 1 Unique Traces, 2256 Redundant Traces, 1 Preserved, 147 Remained 
Collections_SortBeforeBinarySearch @ FsmParse.java:142: 5 Unique Traces, 4230 Redundant Traces, 1 Preserved, 211 Remained 
Collections_SortBeforeBinarySearch @ FsmParse.java:244: 1 Unique Traces, 58885 Redundant Traces, 1 Preserved, 3025 Remained 
Collections_SortBeforeBinarySearch @ FsmParse.java:246: 1 Unique Traces, 60823 Redundant Traces, 1 Preserved, 3103 Remained 
Collections_SortBeforeBinarySearch @ FsmParse.java:325: 12 Unique Traces, 402169 Redundant Traces, 5 Preserved, 20077 Remained 
Collections_SortBeforeBinarySearch @ FsmParse.java:329: 12 Unique Traces, 402169 Redundant Traces, 4 Preserved, 19949 Remained 
Collections_SortBeforeBinarySearch @ FsmParse.java:333: 11 Unique Traces, 343284 Redundant Traces, 3 Preserved, 17342 Remained 
Collections_SortBeforeBinarySearch @ FsmParse.java:337: 9 Unique Traces, 120315 Redundant Traces, 4 Preserved, 5813 Remained 
Collections_SortBeforeBinarySearch @ FsmParseList.java:65: 1 Unique Traces, 25682 Redundant Traces, 1 Preserved, 1290 Remained 
Collections_SortBeforeBinarySearch @ InflectionalGroup.java:108: 5 Unique Traces, 5803 Redundant Traces, 1 Preserved, 302 Remained 
Collections_SortBeforeBinarySearch @ InflectionalGroup.java:117: 1 Unique Traces, 887 Redundant Traces, 1 Preserved, 55 Remained 
Collections_SortBeforeBinarySearch @ NGramSpellChecker.java:185: 1 Unique Traces, 72 Redundant Traces, 1 Preserved, 14 Remained 
Collections_SortBeforeBinarySearch @ NGramSpellChecker.java:188: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Collections_SortBeforeBinarySearch @ Sentence.java:83: 11 Unique Traces, 184 Redundant Traces, 11 Preserved, 55 Remained 
Collections_SortBeforeBinarySearch @ Sentence.java:171: 18 Unique Traces, 84 Redundant Traces, 18 Preserved, 84 Remained 
Collections_SortBeforeBinarySearch @ SimpleSpellChecker.java:80: 35 Unique Traces, 18 Redundant Traces, 11 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ SimpleSpellChecker.java:518: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Collections_SortBeforeBinarySearch @ SimpleSpellChecker.java:539: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Collections_SortBeforeBinarySearch @ TrieBasedSpellChecker.java:57: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ TrieBasedSpellChecker.java:107: 11 Unique Traces, 1 Redundant Traces, 11 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ TrieBasedSpellChecker.java:171: 51 Unique Traces, 2883 Redundant Traces, 51 Preserved, 2883 Remained 
Collections_SortBeforeBinarySearch @ TrieBasedSpellChecker.java:175: 60 Unique Traces, 91271 Redundant Traces, 60 Preserved, 91271 Remained 
Collections_SortBeforeBinarySearch @ TrieBasedSpellChecker.java:185: 1 Unique Traces, 1627 Redundant Traces, 1 Preserved, 91 Remained 
Collections_SortBeforeBinarySearch @ TxtDictionary.java:283: 8 Unique Traces, 1 Redundant Traces, 8 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ TxtWord.java:55: 14 Unique Traces, 559185 Redundant Traces, 3 Preserved, 28209 Remained 
