StringBuilder_ThreadSafe @ BasicPiterbargAnnuityMapping.java:100: 1 Unique Traces, 52 Redundant Traces, 1 Preserved, 40 Remained 
StringBuilder_ThreadSafe @ CashSettledSwaptionTest.java:146: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ CashSettledSwaptionTest.java:147: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ CashSettledSwaptionTest.java:287: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ CashSettledSwaptionTest.java:299: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ CashSettledSwaptionTest.java:317: 4 Unique Traces, 21 Redundant Traces, 1 Preserved, 19 Remained 
StringBuilder_ThreadSafe @ ForwardCurveFromDiscountCurve.java:153: 1 Unique Traces, 33 Redundant Traces, 1 Preserved, 20 Remained 
StringBuilder_ThreadSafe @ MultiPiterbargAnnuityMapping.java:75: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 16 Remained 
StringBuilder_ThreadSafe @ SABRShiftedSmileCalibration.java:435: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ SABRShiftedSmileCalibration.java:437: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 6 Remained 
StringBuilder_ThreadSafe @ SABRShiftedSmileCalibration.java:477: 1 Unique Traces, 14 Redundant Traces, 1 Preserved, 14 Remained 
StringBuilder_ThreadSafe @ SABRShiftedSmileCalibration.java:514: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 10 Remained 
Throwable_InitCauseOnce @ LUDecomposition.java:334: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 1 Remained 
