Iterator_HasNext @ SwaptionDataLattice.java:445: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ DataTableBasic.java:193: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_RemoveOnce @ DataTableBasic.java:256: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_RemoveOnce @ DataTableBasic.java:259: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_RemoveOnce @ DataTableBasic.java:261: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 12 Remained 
Iterator_RemoveOnce @ DataTableLight.java:142: 1 Unique Traces, 79 Redundant Traces, 1 Preserved, 15 Remained 
Iterator_RemoveOnce @ DataTableLinear.java:186: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_RemoveOnce @ DataTableLinear.java:187: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 19 Remained 
Iterator_RemoveOnce @ SABRShiftedSmileCalibration.java:210: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ SABRShiftedSmileCalibration.java:214: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ SABRShiftedSmileCalibration.java:226: 1 Unique Traces, 24 Redundant Traces, 1 Preserved, 11 Remained 
Iterator_RemoveOnce @ SABRShiftedSmileCalibration.java:236: 1 Unique Traces, 24 Redundant Traces, 1 Preserved, 9 Remained 
Iterator_RemoveOnce @ SABRShiftedSmileCalibration.java:319: 1 Unique Traces, 24 Redundant Traces, 1 Preserved, 23 Remained 
Iterator_RemoveOnce @ SABRShiftedSmileCalibration.java:324: 1 Unique Traces, 24 Redundant Traces, 1 Preserved, 14 Remained 
Iterator_RemoveOnce @ SABRShiftedSmileCalibration.java:364: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ SABRShiftedSmileCalibration.java:365: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_RemoveOnce @ SABRShiftedSmileCalibration.java:398: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ SABRShiftedSmileCalibration.java:409: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_RemoveOnce @ SABRShiftedSmileCalibration.java:410: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 19 Remained 
Iterator_RemoveOnce @ SABRShiftedSmileCalibration.java:453: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ SABRShiftedSmileCalibration.java:459: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Iterator_RemoveOnce @ SABRShiftedSmileCalibration.java:460: 1 Unique Traces, 24 Redundant Traces, 1 Preserved, 24 Remained 
Iterator_RemoveOnce @ SABRShiftedSmileCalibration.java:490: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ SABRShiftedSmileCalibration.java:496: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Iterator_RemoveOnce @ SABRShiftedSmileCalibration.java:497: 1 Unique Traces, 24 Redundant Traces, 1 Preserved, 7 Remained 
Iterator_RemoveOnce @ SABRShiftedSmileCalibration.java:529: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ SABRShiftedSmileCalibration.java:530: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Iterator_RemoveOnce @ SwaptionDataLattice.java:277: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ SwaptionDataLattice.java:337: 4 Unique Traces, 2 Redundant Traces, 3 Preserved, 2 Remained 
Iterator_RemoveOnce @ SwaptionDataLattice.java:348: 3 Unique Traces, 3 Redundant Traces, 3 Preserved, 3 Remained 
Iterator_RemoveOnce @ SwaptionDataLattice.java:445: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ SABRShiftedSmileCalibration.java:226: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ SABRShiftedSmileCalibration.java:311: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ SABRShiftedSmileCalibration.java:313: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ SABRShiftedSmileCalibration.java:394: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ SABRShiftedSmileCalibration.java:395: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ SABRShiftedSmileCalibration.java:453: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ SABRShiftedSmileCalibration.java:490: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ SwaptionDataLattice.java:337: 2 Unique Traces, 4 Redundant Traces, 2 Preserved, 2 Remained 
Map_CollectionViewAdd @ SwaptionDataLattice.java:348: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Map_CollectionViewAdd @ SwaptionDataLattice.java:401: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Map_CollectionViewAdd @ SwaptionDataLattice.java:445: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_UnsafeIterator @ SABRShiftedSmileCalibration.java:226: 26 Unique Traces, 0 Redundant Traces, 26 Preserved, 0 Remained 
Map_UnsafeIterator @ SABRShiftedSmileCalibration.java:236: 25 Unique Traces, 0 Redundant Traces, 24 Preserved, 0 Remained 
Map_UnsafeIterator @ SABRShiftedSmileCalibration.java:453: 2 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_UnsafeIterator @ SABRShiftedSmileCalibration.java:490: 2 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_UnsafeIterator @ SwaptionDataLattice.java:277: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_UnsafeIterator @ SwaptionDataLattice.java:337: 6 Unique Traces, 6 Redundant Traces, 5 Preserved, 1 Remained 
Map_UnsafeIterator @ SwaptionDataLattice.java:348: 4 Unique Traces, 8 Redundant Traces, 3 Preserved, 3 Remained 
Map_UnsafeIterator @ SwaptionDataLattice.java:445: 2 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ AbstractSingleSwapRateProduct.java:128: 1 Unique Traces, 497 Redundant Traces, 1 Preserved, 28 Remained 
StringBuilder_ThreadSafe @ BasicPiterbargAnnuityMapping.java:100: 1 Unique Traces, 248 Redundant Traces, 1 Preserved, 40 Remained 
StringBuilder_ThreadSafe @ DataTableBasic.java:257: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 19 Remained 
StringBuilder_ThreadSafe @ DataTableBasic.java:260: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 6 Remained 
StringBuilder_ThreadSafe @ DataTableLinear.java:205: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ ForwardCurveFromDiscountCurve.java:153: 1 Unique Traces, 248 Redundant Traces, 1 Preserved, 25 Remained 
StringBuilder_ThreadSafe @ MultiPiterbargAnnuityMapping.java:75: 1 Unique Traces, 248 Redundant Traces, 1 Preserved, 23 Remained 
StringBuilder_ThreadSafe @ SABRShiftedSmileCalibration.java:435: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ SABRShiftedSmileCalibration.java:437: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ SABRShiftedSmileCalibration.java:477: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
StringBuilder_ThreadSafe @ SABRShiftedSmileCalibration.java:514: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ SABRShiftedSmileCalibrationTest.java:92: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ SABRShiftedSmileCalibrationTest.java:143: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ SABRShiftedSmileCalibrationTest.java:154: 1 Unique Traces, 124 Redundant Traces, 1 Preserved, 16 Remained 
StringBuilder_ThreadSafe @ SABRShiftedSmileCalibrationTest.java:168: 1 Unique Traces, 123 Redundant Traces, 1 Preserved, 7 Remained 
