Collection_UnsynchronizedAddAll @ NGram.java:135: 1 Unique Traces, 9999 Redundant Traces, 1 Preserved, 502 Remained 
Collection_UnsynchronizedAddAll @ Trie.java:44: 5 Unique Traces, 19996 Redundant Traces, 2 Preserved, 997 Remained 
Collections_SortBeforeBinarySearch @ Corpus.java:140: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ DummyDisambiguation.java:32: 25 Unique Traces, 19083 Redundant Traces, 25 Preserved, 19083 Remained 
Collections_SortBeforeBinarySearch @ FiniteStateMachine.java:52: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ FiniteStateMachine.java:173: 14 Unique Traces, 25 Redundant Traces, 7 Preserved, 9 Remained 
Collections_SortBeforeBinarySearch @ FiniteStateMachine.java:195: 13 Unique Traces, 8 Redundant Traces, 9 Preserved, 8 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:398: 4 Unique Traces, 6 Redundant Traces, 4 Preserved, 6 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:419: 6 Unique Traces, 6 Redundant Traces, 6 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:427: 743 Unique Traces, 16817 Redundant Traces, 743 Preserved, 16817 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:431: 29 Unique Traces, 375 Redundant Traces, 29 Preserved, 375 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:443: 89 Unique Traces, 6031 Redundant Traces, 89 Preserved, 6031 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:447: 4 Unique Traces, 36 Redundant Traces, 2 Preserved, 18 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:451: 2 Unique Traces, 8 Redundant Traces, 2 Preserved, 5 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:459: 2 Unique Traces, 5 Redundant Traces, 2 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:471: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 10 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:483: 1112 Unique Traces, 30136 Redundant Traces, 1112 Preserved, 30136 Remained 
