Iterator_HasNext @ MarkupParserTest.java:2018: 13 Unique Traces, 2473971 Redundant Traces, 1 Preserved, 124034 Remained 
Iterator_HasNext @ MarkupParserTest.java:2062: 13 Unique Traces, 2473971 Redundant Traces, 1 Preserved, 123423 Remained 
Iterator_HasNext @ MarkupParserTest.java:2221: 25 Unique Traces, 2228199 Redundant Traces, 2 Preserved, 111304 Remained 
Iterator_HasNext @ SimpleOutputMarkupHandlerTest.java:131: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ StringUtils.java:4038: 28 Unique Traces, 652 Redundant Traces, 18 Preserved, 94 Remained 
Iterator_HasNext @ StringUtils.java:4084: 2 Unique Traces, 88 Redundant Traces, 2 Preserved, 58 Remained 
Iterator_HasNext @ StructureNamesRepositoryTest.java:41: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ StructureNamesRepositoryTest.java:47: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ TextTracerSimpleMarkupHandler.java:353: 3 Unique Traces, 589821 Redundant Traces, 1 Preserved, 19999 Remained 
Iterator_HasNext @ XmlBlockSelectorMarkupHandlerTest.java:83: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ DOMWriter.java:158: 2 Unique Traces, 11 Redundant Traces, 1 Preserved, 6 Remained 
Iterator_RemoveOnce @ DOMWriter.java:191: 3 Unique Traces, 18 Redundant Traces, 3 Preserved, 18 Remained 
Iterator_RemoveOnce @ HtmlAutoOpenBlockSelectorMarkupHandlerTest.java:83: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ HtmlBlockSelectorMarkupHandlerTest.java:82: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ HtmlBlockSelectorWithAttributeMarkupHandlerTest.java:82: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ HtmlElements.java:222: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ HtmlElementsTest.java:65: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ HtmlMultipleSelectorWithAttributeMarkupHandlerTest.java:82: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ HtmlNames.java:50: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ HtmlNodeSelectorWithAttributeMarkupHandlerTest.java:82: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ MarkupEventProcessorHandler.java:1140: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ MarkupEventProcessorHandler.java:1146: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ MarkupParserTest.java:1986: 13 Unique Traces, 2473971 Redundant Traces, 1 Preserved, 123986 Remained 
Iterator_RemoveOnce @ MarkupParserTest.java:2018: 13 Unique Traces, 2473971 Redundant Traces, 3 Preserved, 123502 Remained 
Iterator_RemoveOnce @ MarkupParserTest.java:2062: 13 Unique Traces, 2473971 Redundant Traces, 2 Preserved, 123894 Remained 
Iterator_RemoveOnce @ MarkupParserTest.java:2221: 25 Unique Traces, 2228199 Redundant Traces, 2 Preserved, 111189 Remained 
Iterator_RemoveOnce @ SimpleOutputMarkupHandlerTest.java:131: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_RemoveOnce @ StringUtils.java:4041: 27 Unique Traces, 617 Redundant Traces, 10 Preserved, 53 Remained 
Iterator_RemoveOnce @ StringUtils.java:4087: 2 Unique Traces, 88 Redundant Traces, 2 Preserved, 30 Remained 
Iterator_RemoveOnce @ StructureNamesRepositoryTest.java:41: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ StructureNamesRepositoryTest.java:47: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ TextTracerSimpleMarkupHandler.java:353: 3 Unique Traces, 589821 Redundant Traces, 1 Preserved, 20000 Remained 
Iterator_RemoveOnce @ XmlBlockSelectorMarkupHandlerTest.java:83: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ SimpleOutputMarkupHandlerTest.java:131: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Map_CollectionViewAdd @ TextTracerSimpleMarkupHandler.java:353: 1 Unique Traces, 589823 Redundant Traces, 1 Preserved, 9999 Remained 
Map_UnsafeIterator @ SimpleOutputMarkupHandlerTest.java:131: 2 Unique Traces, 2 Redundant Traces, 2 Preserved, 0 Remained 
Map_UnsafeIterator @ TextTracerSimpleMarkupHandler.java:353: 4 Unique Traces, 1179644 Redundant Traces, 3 Preserved, 19997 Remained 
StringBuilder_ThreadSafe @ HtmlAutoOpenBlockSelectorMarkupHandlerTest.java:133: 1 Unique Traces, 74 Redundant Traces, 1 Preserved, 6 Remained 
StringBuilder_ThreadSafe @ HtmlAutoOpenBlockSelectorMarkupHandlerTest.java:143: 1 Unique Traces, 63 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ HtmlBlockSelectorMarkupHandlerTest.java:132: 1 Unique Traces, 77 Redundant Traces, 1 Preserved, 10 Remained 
StringBuilder_ThreadSafe @ HtmlBlockSelectorMarkupHandlerTest.java:142: 1 Unique Traces, 66 Redundant Traces, 1 Preserved, 12 Remained 
StringBuilder_ThreadSafe @ HtmlBlockSelectorWithAttributeMarkupHandlerTest.java:133: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
StringBuilder_ThreadSafe @ HtmlBlockSelectorWithAttributeMarkupHandlerTest.java:143: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 11 Remained 
StringBuilder_ThreadSafe @ HtmlCDATAContentElement.java:68: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ HtmlCDATAContentElement.java:69: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ HtmlMultipleSelectorWithAttributeMarkupHandlerTest.java:141: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
StringBuilder_ThreadSafe @ HtmlMultipleSelectorWithAttributeMarkupHandlerTest.java:151: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ HtmlNodeSelectorWithAttributeMarkupHandlerTest.java:133: 1 Unique Traces, 98 Redundant Traces, 1 Preserved, 32 Remained 
StringBuilder_ThreadSafe @ HtmlNodeSelectorWithAttributeMarkupHandlerTest.java:143: 1 Unique Traces, 118 Redundant Traces, 1 Preserved, 24 Remained 
StringBuilder_ThreadSafe @ MarkupEventProcessorHandler.java:173: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ MarkupEventProcessorHandler.java:549: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ MarkupEventProcessorHandler.java:576: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ MarkupEventProcessorHandler.java:585: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ MarkupEventProcessorHandler.java:649: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ MarkupEventProcessorHandler.java:661: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ MarkupEventProcessorHandler.java:727: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ MarkupEventProcessorHandler.java:733: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ MarkupEventProcessorHandler.java:781: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ MarkupEventProcessorHandler.java:793: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ MarkupParser.java:366: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 6 Remained 
StringBuilder_ThreadSafe @ MarkupParserTest.java:1882: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ MarkupParserTest.java:1988: 13 Unique Traces, 2473971 Redundant Traces, 2 Preserved, 123632 Remained 
StringBuilder_ThreadSafe @ MarkupParserTest.java:2020: 13 Unique Traces, 2473971 Redundant Traces, 1 Preserved, 123865 Remained 
StringBuilder_ThreadSafe @ MarkupParserTest.java:2064: 13 Unique Traces, 2473971 Redundant Traces, 1 Preserved, 124215 Remained 
StringBuilder_ThreadSafe @ MarkupParserTest.java:2150: 1 Unique Traces, 49 Redundant Traces, 1 Preserved, 33 Remained 
StringBuilder_ThreadSafe @ MarkupParserTest.java:2223: 25 Unique Traces, 2228199 Redundant Traces, 2 Preserved, 111734 Remained 
