Collections_SortBeforeBinarySearch @ VectorTile.java:2875: 12 Unique Traces, 10130 Redundant Traces, 12 Preserved, 613 Remained 
Collections_SortBeforeBinarySearch @ VectorTile.java:2883: 30 Unique Traces, 10112 Redundant Traces, 30 Preserved, 10112 Remained 
Collections_SortBeforeBinarySearch @ VectorTile.java:4015: 4 Unique Traces, 17 Redundant Traces, 4 Preserved, 5 Remained 
Collections_SortBeforeBinarySearch @ VectorTile.java:4456: 3 Unique Traces, 12 Redundant Traces, 2 Preserved, 6 Remained 
Collections_SortBeforeBinarySearch @ VectorTile.java:5281: 1 Unique Traces, 20 Redundant Traces, 1 Preserved, 20 Remained 
Collections_SortBeforeBinarySearch @ VectorTileDecoder.java:114: 6 Unique Traces, 1004111 Redundant Traces, 4 Preserved, 39996 Remained 
Collections_SortBeforeBinarySearch @ VectorTileDecoder.java:137: 245 Unique Traces, 2003944 Redundant Traces, 245 Preserved, 2003944 Remained 
Collections_SortBeforeBinarySearch @ VectorTileDecoder.java:151: 2 Unique Traces, 356 Redundant Traces, 2 Preserved, 33 Remained 
Collections_SortBeforeBinarySearch @ VectorTileDecoder.java:162: 2 Unique Traces, 1637 Redundant Traces, 1 Preserved, 96 Remained 
Collections_SortBeforeBinarySearch @ VectorTileDecoder.java:187: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ VectorTileDecoder.java:191: 4 Unique Traces, 1002120 Redundant Traces, 2 Preserved, 19998 Remained 
Collections_SortBeforeBinarySearch @ VectorTileDecoder.java:194: 1 Unique Traces, 1002115 Redundant Traces, 1 Preserved, 10000 Remained 
Collections_SortBeforeBinarySearch @ VectorTileDecoder.java:201: 2 Unique Traces, 1002118 Redundant Traces, 2 Preserved, 9998 Remained 
Collections_SortBeforeBinarySearch @ VectorTileDecoder.java:242: 6 Unique Traces, 24 Redundant Traces, 4 Preserved, 11 Remained 
Collections_SortBeforeBinarySearch @ VectorTileDecoder.java:334: 4 Unique Traces, 41 Redundant Traces, 4 Preserved, 41 Remained 
Collections_SortBeforeBinarySearch @ VectorTileDecoder.java:336: 11 Unique Traces, 34 Redundant Traces, 8 Preserved, 10 Remained 
