Collection_UnsynchronizedAddAll @ GlushkovPrefixExtender.java:122: 1 Unique Traces, 360 Redundant Traces, 1 Preserved, 39 Remained 
Collection_UnsynchronizedAddAll @ RegexParser.java:293: 1 Unique Traces, 47 Redundant Traces, 1 Preserved, 20 Remained 
Collections_SortBeforeBinarySearch @ AbstractStringFinder.java:29: 13 Unique Traces, 835 Redundant Traces, 1 Preserved, 56 Remained 
Collections_SortBeforeBinarySearch @ AhoCorasick.java:109: 7 Unique Traces, 1348 Redundant Traces, 4 Preserved, 214 Remained 
Collections_SortBeforeBinarySearch @ AhoCorasick.java:113: 4 Unique Traces, 1875 Redundant Traces, 1 Preserved, 85 Remained 
Collections_SortBeforeBinarySearch @ AhoCorasick.java:142: 3 Unique Traces, 1868 Redundant Traces, 3 Preserved, 153 Remained 
Collections_SortBeforeBinarySearch @ AhoCorasick.java:146: 3 Unique Traces, 84 Redundant Traces, 3 Preserved, 27 Remained 
Collections_SortBeforeBinarySearch @ AlternativesNode.java:28: 3 Unique Traces, 153 Redundant Traces, 2 Preserved, 13 Remained 
Collections_SortBeforeBinarySearch @ AlternativesNode.java:59: 3 Unique Traces, 47 Redundant Traces, 2 Preserved, 15 Remained 
Collections_SortBeforeBinarySearch @ BOM.java:105: 1 Unique Traces, 687 Redundant Traces, 1 Preserved, 40 Remained 
Collections_SortBeforeBinarySearch @ BOM.java:113: 1 Unique Traces, 546 Redundant Traces, 1 Preserved, 36 Remained 
Collections_SortBeforeBinarySearch @ BOM.java:153: 4 Unique Traces, 172 Redundant Traces, 3 Preserved, 57 Remained 
Collections_SortBeforeBinarySearch @ BPGlushkov.java:143: 10 Unique Traces, 173 Redundant Traces, 9 Preserved, 173 Remained 
Collections_SortBeforeBinarySearch @ BPGlushkov.java:150: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
Collections_SortBeforeBinarySearch @ BestFactorAnalyzer.java:178: 8 Unique Traces, 186 Redundant Traces, 3 Preserved, 15 Remained 
Collections_SortBeforeBinarySearch @ ByteWordSetBuilder.java:61: 26 Unique Traces, 57 Redundant Traces, 9 Preserved, 15 Remained 
Collections_SortBeforeBinarySearch @ ByteWordSetBuilder.java:74: 56 Unique Traces, 94 Redundant Traces, 56 Preserved, 94 Remained 
Collections_SortBeforeBinarySearch @ ByteWordSetBuilder.java:100: 39 Unique Traces, 111 Redundant Traces, 8 Preserved, 13 Remained 
Collections_SortBeforeBinarySearch @ ByteWordSetBuilder.java:134: 55 Unique Traces, 95 Redundant Traces, 54 Preserved, 95 Remained 
Collections_SortBeforeBinarySearch @ ByteWordSetBuilder.java:141: 34 Unique Traces, 116 Redundant Traces, 17 Preserved, 19 Remained 
Collections_SortBeforeBinarySearch @ CharNode.java:29: 1 Unique Traces, 564 Redundant Traces, 1 Preserved, 40 Remained 
Collections_SortBeforeBinarySearch @ CharNode.java:30: 1 Unique Traces, 575 Redundant Traces, 1 Preserved, 55 Remained 
